"Site","Site_ID","Project","Date","TP","Lat","Long"
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DOW",2019-06-19,"10.7",42.824,-76.521
"Dutch Hollow Brook","07-DUCH-0.3","DOW",2019-06-19,"24.5",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DOW",2019-06-19,"24.5",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DOW",2019-06-19,"43.5",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DOW",2019-06-19,"43.5",42.902,-76.527
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2019-06-18,"17.9",42.71667,-76.43773
"Owasco Lake Inlet","07-OWLI-3.0","DOW",2019-06-18,"17.9",42.71667,-76.43773
"Veness Brook","07-VENE-0.4","DOW",2018-06-19,"122",42.886,-76.548
"Veness Brook","07-VENE-0.4","DOW",2018-06-19,"122",42.886,-76.548
"Sucker Brook","07-SCKR-0.1","DOW",2018-06-19,"49.8",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DOW",2018-06-19,"49.8",42.902,-76.527
