"Site","Site_ID","Project","Date","TP","Lat","Long"
"Unnamed TributaryTo Owasco Lake","07-OWAL_T9-0.1","DEC","17485","218.7",42.805,-76.491
"Veness Brook","07-VENE-0.4","DEC","17485","11.3",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC","17485","11.3",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17485","15.3",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17485","15.3",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC","17485","20.3",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC","17485","20.3",42.902,-76.527
"Unnamed TributaryTo Owasco Lake","07-OWAL_T9-0.1","DEC","17501","62.4",42.805,-76.491
"Unnamed TributaryTo Owasco Lake","07-OWAL_T9-0.1","DEC","17501","62.4",42.805,-76.491
"Unnamed TributaryTo Owasco Lake","07-OWAL_T9-0.1","DEC","17501","62.4",42.805,-76.491
"Veness Brook","07-VENE-0.4","DEC","17501","10.4",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC","17501","10.4",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17501","8.7",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17501","8.7",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC","17501","12",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC","17501","12",42.902,-76.527
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC","17717","23.7",42.824,-76.521
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC","17717","23.7",42.824,-76.521
"Veness Brook","07-VENE-0.4","DEC","17717","59.3",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC","17717","59.3",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17717","20",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17717","20",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17737","62.9",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17737","62.9",42.864,-76.508
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC","17757","42.7",42.824,-76.521
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC","17757","42.7",42.824,-76.521
"Veness Brook","07-VENE-0.4","DEC","17757","40",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC","17757","40",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17757","18.6",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17757","18.6",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC","17757","172",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC","17757","172",42.902,-76.527
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC","17771","26.6",42.824,-76.521
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC","17771","26.6",42.824,-76.521
"Veness Brook","07-VENE-0.4","DEC","17771","36.2",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC","17771","36.2",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17771","11.7",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17771","11.7",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC","17771","73.6",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC","17771","73.6",42.902,-76.527
"Veness Brook","07-VENE-0.4","DEC","17784","48.5",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC","17784","48.5",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17784","47.9",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17784","47.9",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC","17784","30.5",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC","17784","30.5",42.902,-76.527
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC","17785","22.5",42.824,-76.521
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC","17785","22.5",42.824,-76.521
"Veness Brook","07-VENE-0.4","DEC","17785","135",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC","17785","135",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17785","76.5",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17785","76.5",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC","17785","44.7",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC","17785","44.7",42.902,-76.527
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC","17827","22",42.824,-76.521
"Unnamed TributaryTo Owasco Lake","07-OWAL_T46-0.1","DEC","17827","22",42.824,-76.521
"Veness Brook","07-VENE-0.4","DEC","17827","22.8",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC","17827","22.8",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17827","8.2",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17827","8.2",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC","17827","15.7",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC","17827","15.7",42.902,-76.527
"Veness Brook","07-VENE-0.4","DEC","17833","63.9",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC","17833","63.9",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17833","35.1",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17833","35.1",42.864,-76.508
"Sucker Brook","07-SCKR-0.1","DEC","17833","50.6",42.902,-76.527
"Sucker Brook","07-SCKR-0.1","DEC","17833","50.6",42.902,-76.527
"Veness Brook","07-VENE-0.4","DEC","17837","52.6",42.886,-76.548
"Veness Brook","07-VENE-0.4","DEC","17837","52.6",42.886,-76.548
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17837","43.8",42.864,-76.508
"Dutch Hollow Brook","07-DUCH-0.3","DEC","17837","43.8",42.864,-76.508
